------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [163/2000]	Loss: 4.7948	Infidelity: 0.2156	Energy difference: 0.0227
Epoch [164/2000]	Loss: 4.7947	Infidelity: 0.1872	Energy difference: 0.0201
Epoch [165/2000]	Loss: 4.7946	Infidelity: 0.2049	Energy difference: 0.0178
Epoch [166/2000]	Loss: 4.7945	Infidelity: 0.2093	Energy difference: 0.0227
Epoch [167/2000]	Loss: 4.7944	Infidelity: 0.2294	Energy difference: 0.0214
Epoch [168/2000]	Loss: 4.7943	Infidelity: 0.2013	Energy difference: 0.0159
Epoch [169/2000]	Loss: 4.7943	Infidelity: 0.2102	Energy difference: 0.0200
Epoch [170/2000]	Loss: 4.7942	Infidelity: 0.2025	Energy difference: 0.0190
Epoch [171/2000]	Loss: 4.7941	Infidelity: 0.1973	Energy difference: 0.0189
Epoch [172/2000]	Loss: 4.7940	Infidelity: 0.2036	Energy difference: 0.0220
Epoch [173/2000]	Loss: 4.7939	Infidelity: 0.1971	Energy difference: 0.0180
Epoch [174/2000]	Loss: 4.7938	Infidelity: 0.2079	Energy difference: 0.0201
Epoch [175/2000]	Loss: 4.7937	Infidelity: 0.1997	Energy difference: 0.0185
Epoch [176/2000]	Loss: 4.7937	Infidelity: 0.1944	Energy difference: 0.0182
Epoch [177/2000]	Loss: 4.7936	Infidelity: 0.1963	Energy difference: 0.0181
Epoch [178/2000]	Loss: 4.7935	Infidelity: 0.2113	Energy difference: 0.0199
Epoch [179/2000]	Loss: 4.7934	Infidelity: 0.1929	Energy difference: 0.0200
Epoch [180/2000]	Loss: 4.7933	Infidelity: 0.1948	Energy difference: 0.0215
Epoch [181/2000]	Loss: 4.7932	Infidelity: 0.2040	Energy difference: 0.0206
Epoch [182/2000]	Loss: 4.7931	Infidelity: 0.1874	Energy difference: 0.0208
Epoch [183/2000]	Loss: 4.7930	Infidelity: 0.1909	Energy difference: 0.0173
Epoch [184/2000]	Loss: 4.7930	Infidelity: 0.1946	Energy difference: 0.0220
Epoch [185/2000]	Loss: 4.7929	Infidelity: 0.2067	Energy difference: 0.0164
Epoch [186/2000]	Loss: 4.7928	Infidelity: 0.1898	Energy difference: 0.0228
Epoch [187/2000]	Loss: 4.7927	Infidelity: 0.1895	Energy difference: 0.0208
Epoch [188/2000]	Loss: 4.7926	Infidelity: 0.1820	Energy difference: 0.0173
Epoch [189/2000]	Loss: 4.7925	Infidelity: 0.1720	Energy difference: 0.0194
Epoch [190/2000]	Loss: 4.7924	Infidelity: 0.1833	Energy difference: 0.0211
Epoch [191/2000]	Loss: 4.7923	Infidelity: 0.2063	Energy difference: 0.0204
Epoch [192/2000]	Loss: 4.7922	Infidelity: 0.2005	Energy difference: 0.0165
Epoch [193/2000]	Loss: 4.7921	Infidelity: 0.1755	Energy difference: 0.0190
